model,n,p,seed,nr_cliques,max_clique,time_cliques
dense_gnp,30,0.9,7821,746,16,0.676972
dense_gnp,30,0.9,917,483,16,1.464502
dense_gnp,30,0.9,91928,489,17,1.527220
dense_gnp,30,0.9,92839,1713,15,2.957359
dense_gnp,30,0.9,9291,430,19,1.301352
dense_gnp,30,0.9,934,506,18,1.387956
dense_gnp,30,0.9,93728,409,18,1.306870
dense_gnp,30,0.9,94029,419,18,0.572000
dense_gnp,30,0.9,9482,1528,15,2.995353
dense_gnp,30,0.9,956,764,17,0.821683
dense_gnp,30,0.9,97821,1228,16,1.082331
dense_gnp,35,0.6,17,463,7,1.173054
dense_gnp,35,0.6,1928,488,7,1.020731
dense_gnp,35,0.6,2839,593,8,1.131149
dense_gnp,35,0.6,291,585,9,0.539385
dense_gnp,35,0.6,34,426,9,0.394115
dense_gnp,35,0.6,3728,443,7,1.029251
dense_gnp,35,0.6,4029,531,8,1.329359
dense_gnp,35,0.6,482,449,7,1.003060
dense_gnp,35,0.6,56,587,8,0.533866
dense_gnp,35,0.6,7821,329,10,0.985042
dense_gnp,35,0.6,917,463,8,1.163626
dense_gnp,35,0.6,91928,525,8,1.253651
dense_gnp,35,0.6,92839,395,7,1.042800
dense_gnp,35,0.6,9291,493,9,1.190655
dense_gnp,35,0.6,934,488,9,1.206648
dense_gnp,35,0.6,93728,559,8,1.343397
dense_gnp,35,0.6,94029,524,8,1.203575
dense_gnp,35,0.6,9482,437,7,1.117950
dense_gnp,35,0.6,956,520,9,1.301911
dense_gnp,35,0.6,97821,546,9,1.472254
superdense_gnp,35,0.771429,17,1535,11,3.316343
superdense_gnp,35,0.771429,1928,1516,10,2.719061
superdense_gnp,35,0.771429,2839,1787,11,3.933950
superdense_gnp,35,0.771429,291,2034,12,4.020344
superdense_gnp,35,0.771429,34,1589,13,3.220032
superdense_gnp,35,0.771429,3728,1450,10,2.935149
superdense_gnp,35,0.771429,4029,1206,13,3.066102
superdense_gnp,35,0.771429,482,1503,11,3.295671
superdense_gnp,35,0.771429,56,1268,12,2.598655
superdense_gnp,35,0.771429,7821,1353,11,1.040774
superdense_gnp,35,0.771429,917,1486,11,1.149029
superdense_gnp,35,0.771429,91928,1436,12,1.054045
superdense_gnp,35,0.771429,92839,985,11,2.175905
superdense_gnp,35,0.771429,9291,1328,12,2.375302
superdense_gnp,35,0.771429,934,1559,14,1.308826
superdense_gnp,35,0.771429,93728,1979,12,4.424236
superdense_gnp,35,0.771429,94029,1550,9,3.268572
superdense_gnp,35,0.771429,9482,1635,11,3.313201
superdense_gnp,35,0.771429,956,1668,11,3.654306
superdense_gnp,35,0.771429,97821,1883,12,4.031449
dense_gnp,35,0.7,17,837,10,1.945709
dense_gnp,35,0.7,1928,816,9,1.925734
dense_gnp,35,0.7,2839,1040,10,0.904095
dense_gnp,35,0.7,291,1088,11,0.874832
dense_gnp,35,0.7,34,1059,11,0.869385
dense_gnp,35,0.7,3728,921,9,0.689822
